collocate,raw_frequency,MI
 desk,1,10.195169708239186
 having,2,7.684970865549058
 lit,4,10.162908846020965
 manager,1,11.028898839420322
 instructed,2,11.649286665697838
 assist,1,10.951763110538094
 orders,1,9.750851756230649
 central,2,10.94306740357054
 telephone,5,11.19809930825158
 transmitted,9,13.166609289224134
 minutely,1,12.888977552625853
 impeccably,1,14.999190752972444
 tidy,1,11.73152476393481
 serviceroom,1,14.188260536756115
 switchboard,1,16.385485114092333
 direct,3,10.158948444804869
 billoffice,2,14.999190752972444
 gravitytubes,2,16.385485114092333
 lay,1,8.008473953275958
 examined,1,10.62029401130749
 carbons,1,15.692337933532388
 suite,1,11.451011180961642
 paradise,2,11.102281385354345
 gazed,1,9.74039414458669
 took,2,7.307648091929245
 tw,2,16.385485114092333
 admirable,1,10.639281923552181
 impassivity,1,14.776047201658233
 armand,2,15.692337933532388
 evelyn,1,9.05507990224793
 equal,7,9.938179251551121
 handed,1,10.20133622315485
 instructions,1,11.005587760551874
 powler,2,11.01020670640817
 laundry,5,11.533454850172717
 averted,1,11.525672709730662
 apologetically,1,12.473462108664188
 enquired,1,12.415193200540212
 atlantic,2,12.108818995076279
 any,4,6.471948225703204
 business,2,8.184647855712486
 knew,1,7.218261033189779
 mischievously,2,13.441046134925893
 gav,1,16.385485114092333
 repercussions,1,15.692337933532388
 spent,1,9.388803625915795
 l,1,9.641425927780986
 using,3,10.888316888799132
 appreciably,2,13.820535756630797
 lift,1,10.071937067815238
 home,1,7.475574387390434
 hold,2,8.54911535354721
 oldham,3,11.67595491278
 strength,2,9.024109685114984
 information,1,9.793811382083677
 received,1,8.820728101186605
 scotland,1,11.249686677042073
 yard,1,10.093915974534013
 individuals,1,11.863696537043294
 violet,1,9.313911749880802
 composing,3,12.493664815981708
 amiable,1,10.691752975289635
 comprehending,2,12.984287732430179
 laugh,1,8.862544196019963
 course,1,7.533106227580348
 tilton,3,13.01818928410586
 spelt,3,12.83013705260292
 na,1,12.514284103184442
 maclaren,1,11.310311298858506
 tinkle,5,12.83013705260292
 shock,2,10.12590365002741
 authority,1,10.105089275132139
 marian,1,9.683524748089793
 imparted,2,11.97876586682808
 anyhow,1,10.601659931762596
 afternoon,1,8.789092810028137
 coming,2,8.025647733452303
 case,2,8.352800238124713
 expla,1,16.385485114092333
riordan's ,1,13.34096267636891
 charge,1,9.543869637614742
 quick,1,9.117959686264163
 flowers,1,9.082988690365008
 sig,1,16.385485114092333
 weakness,1,10.15303709754181
 stocks,2,11.154376497237747
 department,1,11.465504188264209
 stairforth,1,14.188260536756115
 breathless,1,10.978313342632216
 talker,1,12.493664815981708
 cousin,1,8.650488920069552
 secretary,14,10.580350145175846
 obliging,2,12.108818995076279
 tinkled,1,13.05328060391713
 jumped,1,10.237016818174688
 wi,2,9.757443737912801
